Wavelength, nm	Energy, eV	Hemispherica	Direct	Hemispherica
		Hemispherical Tilt Irrad, W.m-2.nm-1	Direct + Circumsolar, W.m-2.nm-1	Hemispherical Tilt Irrad, W.m-2.eV-1
352	3,52215909090909	0,5179	0,3267	51,7582526213905
352,5	3,51716312056738	0,4896	0,3095	49,0690917889982
353	3,51218130311615	0,5204	0,3298	52,3040196805936
353,5	3,50721357850071	0,5723	0,3635	57,6834131916438
354	3,50225988700565	0,605	0,3852	61,1519438619132
354,5	3,49732016925247	0,6116	0,3904	61,9938094047427
355	3,49239436619718	0,6114	0,3914	62,1484795934828
355,5	3,48748241912799	0,5903	0,3788	60,1728194668495
356	3,48258426966292	0,5539	0,3563	56,6212860138732
356,5	3,47769985974755	0,5194	0,335	53,2438414663655
357	3,47282913165266	0,4567	0,2953	46,9478611872883
357,5	3,46797202797203	0,4622	0,2995	47,6464339006291
358	3,46312849162011	0,4301	0,2794	44,4614747539926
358,5	3,45829846582985	0,3993	0,26	41,3929137159219
359	3,45348189415042	0,4695	0,3065	48,8059602355219
359,5	3,44867872044506	0,5655	0,3701	58,9493155145991
360	3,44388888888889	0,5982	0,3924	62,5316341345378
360,5	3,43911234396671	0,5653	0,3717	59,2567586102597
361	3,43434903047091	0,5202	0,3428	54,6805809001452
361,5	3,42959889349931	0,5096	0,3365	53,7148528794967
362	3,42486187845304	0,5342	0,3535	56,4637076947895
362,5	3,42013793103448	0,5851	0,388	62,0146772664946
363	3,41542699724518	0,6019	0,4001	63,9714156315535
363,5	3,41072902338377	0,5854	0,3899	62,3892717777061
364	3,40604395604396	0,6063	0,4047	64,794583642523
364,5	3,40137174211248	0,6006	0,4018	64,3618859090176
365	3,39671232876712	0,6236	0,4181	67,0100903371512
365,5	3,39206566347469	0,6863	0,4611	73,9498214026456
366	3,38743169398907	0,7353	0,4951	79,4465613808679
366,5	3,38281036834925	0,7366	0,4969	79,8046211889014
367	3,37820163487738	0,7229	0,4887	78,5341814002258
367,5	3,37360544217687	0,7091	0,4804	77,2450289361187
368	3,36902173913043	0,6676	0,4532	72,92229585417
368,5	3,36445047489824	0,6631	0,4511	72,6277149338603
369	3,35989159891599	0,6932	0,4724	76,1306704307146
369,5	3,3553450608931	0,7447	0,5086	82,0084506976932
370	3,35081081081081	0,7551	0,5167	83,3789240200032
370,5	3,34628879892038	0,6826	0,468	75,5772484674948
371	3,34177897574124	0,6934	0,4763	76,9803753831263
371,5	3,33728129205922	0,7205	0,4959	80,2047315091144
372	3,33279569892473	0,6744	0,4651	75,2751811582513
372,5	3,32832214765101	0,6425	0,4439	71,9074775165349
373	3,32386058981233	0,6189	0,4283	69,4522810937248
373,5	3,3194109772423	0,5579	0,3868	62,774887300371
374	3,31497326203209	0,5564	0,3865	62,7738396515567
374,5	3,3105473965287	0,5523	0,3844	62,4779908654622
375	3,30613333333333	0,5893	0,4109	66,8416780932408
375,5	3,3017310252996	0,6516	0,4551	74,1053096467172
376	3,29734042553191	0,6748	0,4722	76,9483181158251
376,5	3,2929614873838	0,6639	0,4654	75,9068549564446
377	3,28859416445623	0,7123	0,5001	81,6571113889337
377,5	3,28423841059603	0,7946	0,5589	91,3336556299403
378	3,27989417989418	0,856	0,6031	98,6519632198742
378,5	3,27556142668428	0,8342	0,5889	96,3940707775448
379	3,2712401055409	0,7439	0,5262	86,1869171640587
